Event, Reactor, Reaction, Worker, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay
Reaction starts, manager, 0, 0, 0, 0, 950928, NO TRIGGER, 0
Schedule called, manager, 0, 0, 0, 0, 988035, manager.next, 0
Reaction ends, manager, 0, 0, 0, 0, 992665, NO TRIGGER, 0
Reaction starts, seriesWorkers.computer, 0, 0, 0, 0, 993205, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 0, 0, 0, 0, 993395, NO TRIGGER, 0
Reaction starts, seriesWorkers.computer, 0, 0, 0, 0, 993659, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 0, 0, 0, 0, 993765, NO TRIGGER, 0
Reaction starts, seriesWorkers.computer, 0, 0, 0, 0, 993999, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 0, 0, 0, 0, 994105, NO TRIGGER, 0
Reaction starts, seriesWorkers.computer, 0, 0, 0, 0, 994342, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 0, 0, 0, 0, 994482, NO TRIGGER, 0
Reaction starts, seriesWorkers.computer, 0, 0, 0, 0, 994742, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 0, 0, 0, 0, 994859, NO TRIGGER, 0
Reaction starts, seriesWorkers.computer, 0, 0, 0, 0, 995119, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 0, 0, 0, 0, 995229, NO TRIGGER, 0
Reaction starts, seriesWorkers.computer, 0, 0, 0, 0, 995432, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 0, 0, 0, 0, 995519, NO TRIGGER, 0
Reaction starts, seriesWorkers.computer, 0, 0, 0, 0, 995775, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 0, 0, 0, 0, 995899, NO TRIGGER, 0
Reaction starts, seriesWorkers.computer, 0, 0, 0, 0, 996135, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 0, 0, 0, 0, 996222, NO TRIGGER, 0
Reaction starts, seriesWorkers.computer, 0, 0, 0, 0, 996475, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 0, 0, 0, 0, 996585, NO TRIGGER, 0
Reaction starts, runner, 0, 0, 0, 0, 996779, NO TRIGGER, 0
Schedule called, runner, 0, 0, 0, 0, 998005, runner.nextIteration, 0
Reaction ends, runner, 0, 0, 0, 0, 998129, NO TRIGGER, 0
Schedule called, manager, 0, 0, 0, 1, 2009693, manager.next, 0
Reaction starts, seriesWorkers, 1, 0, 0, 1, 2068688, NO TRIGGER, 0
Reaction ends, seriesWorkers, 1, 0, 0, 1, 2069692, NO TRIGGER, 0
Reaction starts, seriesWorkers, 1, 0, 0, 1, 2071082, NO TRIGGER, 0
Reaction ends, seriesWorkers, 1, 0, 0, 1, 2071335, NO TRIGGER, 0
Reaction starts, seriesWorkers.computer, 1, 0, 0, 1, 2111282, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 1, 0, 0, 1, 2111649, NO TRIGGER, 0
Reaction starts, seriesWorkers.computer, 1, 0, 0, 1, 2112629, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 1, 0, 0, 1, 2121632, NO TRIGGER, 0
Reaction starts, seriesWorkers, 2, 0, 0, 1, 2144720, NO TRIGGER, 0
Reaction ends, seriesWorkers, 2, 0, 0, 1, 2144973, NO TRIGGER, 0
Reaction starts, seriesWorkers, 2, 0, 0, 1, 2145533, NO TRIGGER, 0
Reaction ends, seriesWorkers, 2, 0, 0, 1, 2145843, NO TRIGGER, 0
Reaction starts, seriesWorkers, 2, 0, 0, 1, 2146423, NO TRIGGER, 0
Reaction ends, seriesWorkers, 2, 0, 0, 1, 2146760, NO TRIGGER, 0
Reaction starts, seriesWorkers, 2, 0, 0, 1, 2147240, NO TRIGGER, 0
Reaction ends, seriesWorkers, 2, 0, 0, 1, 2147503, NO TRIGGER, 0
Reaction starts, seriesWorkers, 2, 0, 0, 1, 2147930, NO TRIGGER, 0
Reaction ends, seriesWorkers, 2, 0, 0, 1, 2148226, NO TRIGGER, 0
Schedule called, runner, 0, 0, 0, 1, 2185450, runner.nextIteration, 0
Schedule called, manager, 0, 0, 0, 2, 2250958, manager.next, 0
Schedule called, runner, 0, 0, 0, 2, 2421664, runner.nextIteration, 0
Schedule called, manager, 0, 0, 0, 3, 2465304, manager.next, 0
Schedule called, runner, 0, 0, 0, 3, 2633690, runner.nextIteration, 0
Schedule called, manager, 0, 0, 0, 4, 2674471, manager.next, 0
Reaction starts, seriesWorkers, 0, 0, 0, 4, 2682644, NO TRIGGER, 0
Reaction ends, seriesWorkers, 0, 0, 0, 4, 2682908, NO TRIGGER, 0
Reaction starts, seriesWorkers, 2, 0, 0, 4, 2782536, NO TRIGGER, 0
Reaction ends, seriesWorkers, 2, 0, 0, 4, 2782913, NO TRIGGER, 0
Reaction starts, seriesWorkers, 2, 0, 0, 4, 2784293, NO TRIGGER, 0
Reaction ends, seriesWorkers, 2, 0, 0, 4, 2784646, NO TRIGGER, 0
Reaction starts, seriesWorkers, 2, 0, 0, 4, 2785693, NO TRIGGER, 0
Reaction ends, seriesWorkers, 2, 0, 0, 4, 2785949, NO TRIGGER, 0
Reaction starts, seriesWorkers, 2, 0, 0, 4, 2788673, NO TRIGGER, 0
Reaction ends, seriesWorkers, 2, 0, 0, 4, 2788933, NO TRIGGER, 0
Reaction starts, runner, 2, 0, 0, 4, 2797663, NO TRIGGER, 0
Schedule called, runner, 0, 0, 0, 4, 2802650, runner.nextIteration, 0
Reaction ends, runner, 2, 0, 0, 4, 2803003, NO TRIGGER, 0
Reaction starts, runner, 1, 0, 0, 5, 2805783, NO TRIGGER, 0
Reaction ends, runner, 1, 0, 0, 5, 2805986, NO TRIGGER, 0
Reaction starts, manager, 1, 0, 0, 5, 2842283, NO TRIGGER, 0
Schedule called, manager, 0, 0, 0, 5, 2842743, manager.next, 0
Reaction ends, manager, 1, 0, 0, 5, 2842897, NO TRIGGER, 0
Reaction starts, seriesWorkers, 0, 0, 0, 5, 2848343, NO TRIGGER, 0
Reaction ends, seriesWorkers, 0, 0, 0, 5, 2848603, NO TRIGGER, 0
Reaction starts, seriesWorkers, 0, 0, 0, 5, 2851037, NO TRIGGER, 0
Reaction ends, seriesWorkers, 0, 0, 0, 5, 2851184, NO TRIGGER, 0
Reaction starts, seriesWorkers, 1, 0, 0, 5, 2880547, NO TRIGGER, 0
Reaction ends, seriesWorkers, 1, 0, 0, 5, 2881037, NO TRIGGER, 0
Schedule called, runner, 0, 0, 0, 5, 2977092, runner.nextIteration, 0
Schedule called, manager, 0, 0, 0, 6, 3041580, manager.next, 0
Schedule called, runner, 0, 0, 0, 6, 3162385, runner.nextIteration, 0
Schedule called, manager, 0, 0, 0, 7, 3203023, manager.next, 0
Schedule called, runner, 0, 0, 0, 7, 3304984, runner.nextIteration, 0
Schedule called, manager, 0, 0, 0, 8, 3344694, manager.next, 0
Reaction starts, seriesWorkers, 2, 0, 0, 8, 3460250, NO TRIGGER, 0
Reaction ends, seriesWorkers, 2, 0, 0, 8, 3460633, NO TRIGGER, 0
Schedule called, runner, 0, 0, 0, 8, 3478236, runner.nextIteration, 0
Schedule called, manager, 0, 0, 0, 9, 3542104, manager.next, 0
Reaction starts, seriesWorkers.computer, 1, 0, 0, 9, 3632309, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 1, 0, 0, 9, 3632779, NO TRIGGER, 0
Schedule called, runner, 0, 0, 0, 9, 3695790, runner.nextIteration, 0
Schedule called, manager, 0, 0, 0, 10, 3740570, manager.next, 0
Reaction starts, seriesWorkers, 2, 0, 0, 10, 3837822, NO TRIGGER, 0
Reaction ends, seriesWorkers, 2, 0, 0, 10, 3838002, NO TRIGGER, 0
Reaction starts, seriesWorkers, 2, 0, 0, 10, 3838385, NO TRIGGER, 0
Reaction ends, seriesWorkers, 2, 0, 0, 10, 3838548, NO TRIGGER, 0
Reaction starts, seriesWorkers, 2, 0, 0, 10, 3838905, NO TRIGGER, 0
Reaction ends, seriesWorkers, 2, 0, 0, 10, 3839062, NO TRIGGER, 0
Reaction starts, seriesWorkers, 2, 0, 0, 10, 3840965, NO TRIGGER, 0
Reaction ends, seriesWorkers, 2, 0, 0, 10, 3841169, NO TRIGGER, 0
Reaction starts, runner, 2, 0, 0, 10, 3874069, NO TRIGGER, 0
Schedule called, runner, 0, 0, 0, 10, 3885402, runner.nextIteration, 0
Reaction ends, runner, 2, 0, 0, 10, 3885632, NO TRIGGER, 0
Reaction starts, runner, 1, 0, 0, 11, 3887286, NO TRIGGER, 0
Reaction ends, runner, 1, 0, 0, 11, 3887489, NO TRIGGER, 0
Reaction starts, manager, 1, 0, 0, 11, 3950123, NO TRIGGER, 0
Schedule called, manager, 0, 0, 0, 11, 3950733, manager.next, 0
Reaction ends, manager, 1, 0, 0, 11, 3950900, NO TRIGGER, 0
Reaction starts, seriesWorkers, 0, 0, 0, 11, 3953553, NO TRIGGER, 0
Reaction ends, seriesWorkers, 0, 0, 0, 11, 3953697, NO TRIGGER, 0
Reaction starts, seriesWorkers, 0, 0, 0, 11, 3957337, NO TRIGGER, 0
Reaction ends, seriesWorkers, 0, 0, 0, 11, 3957490, NO TRIGGER, 0
Reaction starts, seriesWorkers, 1, 0, 0, 11, 3982064, NO TRIGGER, 0
Reaction ends, seriesWorkers, 1, 0, 0, 11, 3982424, NO TRIGGER, 0
Schedule called, runner, 0, 0, 0, 11, 4059059, runner.nextIteration, 0
Schedule called, manager, 0, 0, 0, 12, 4100262, manager.next, 0
Reaction starts, seriesWorkers.computer, 1, 0, 0, 12, 4155430, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 1, 0, 0, 12, 4155723, NO TRIGGER, 0
Schedule called, runner, 0, 0, 0, 12, 4209784, runner.nextIteration, 0
Schedule called, runner, 0, 0, 0, 13, 4214834, runner.done, 0
Schedule called, manager, 0, 0, 0, 13, 4216904, manager.next, 0
Schedule called, runner, 0, 0, 0, 13, 4355556, runner.nextIteration, 0
Schedule called, runner, 0, 0, 0, 14, 4358786, runner.done, 0
Schedule called, manager, 0, 0, 0, 14, 4359936, manager.next, 0
Schedule called, runner, 0, 0, 0, 14, 4504655, runner.nextIteration, 0
Schedule called, runner, 0, 0, 0, 15, 4538656, runner.done, 0
Schedule called, manager, 0, 0, 0, 15, 4539599, manager.next, 0
Reaction starts, seriesWorkers, 2, 0, 0, 15, 4703291, NO TRIGGER, 0
Reaction ends, seriesWorkers, 2, 0, 0, 15, 4703414, NO TRIGGER, 0
Reaction starts, seriesWorkers, 2, 0, 0, 15, 4703795, NO TRIGGER, 0
Reaction ends, seriesWorkers, 2, 0, 0, 15, 4703928, NO TRIGGER, 0
Schedule called, runner, 0, 0, 0, 15, 4720102, runner.nextIteration, 0
Reaction starts, seriesWorkers.computer, 1, 1, 0, 2, 2328882, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 1, 1, 0, 2, 2329084, NO TRIGGER, 0
Reaction starts, seriesWorkers.computer, 1, 1, 0, 2, 2331236, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 1, 1, 0, 2, 2331352, NO TRIGGER, 0
Reaction starts, seriesWorkers.computer, 1, 1, 0, 2, 2331724, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 1, 1, 0, 2, 2331959, NO TRIGGER, 0
Reaction starts, seriesWorkers.computer, 1, 1, 0, 2, 2332589, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 1, 1, 0, 2, 2332761, NO TRIGGER, 0
Reaction starts, seriesWorkers.computer, 1, 1, 0, 2, 2334159, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 1, 1, 0, 2, 2334241, NO TRIGGER, 0
Reaction starts, seriesWorkers.computer, 1, 1, 0, 2, 2334525, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 1, 1, 0, 2, 2334652, NO TRIGGER, 0
Reaction starts, seriesWorkers.computer, 1, 1, 0, 2, 2335421, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 1, 1, 0, 2, 2335781, NO TRIGGER, 0
Reaction starts, seriesWorkers, 1, 1, 0, 3, 2491022, NO TRIGGER, 0
Reaction ends, seriesWorkers, 1, 1, 0, 3, 2491258, NO TRIGGER, 0
Reaction starts, seriesWorkers.computer, 1, 1, 0, 3, 2528180, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 1, 1, 0, 3, 2528408, NO TRIGGER, 0
Reaction starts, seriesWorkers.computer, 1, 1, 0, 3, 2529092, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 1, 1, 0, 3, 2529324, NO TRIGGER, 0
Reaction starts, seriesWorkers.computer, 1, 1, 0, 3, 2530098, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 1, 1, 0, 3, 2530270, NO TRIGGER, 0
Reaction starts, seriesWorkers.computer, 1, 1, 0, 3, 2530709, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 1, 1, 0, 3, 2530861, NO TRIGGER, 0
Reaction starts, seriesWorkers.computer, 1, 1, 0, 3, 2531150, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 1, 1, 0, 3, 2531291, NO TRIGGER, 0
Reaction starts, seriesWorkers.computer, 1, 1, 0, 3, 2533701, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 1, 1, 0, 3, 2534313, NO TRIGGER, 0
Reaction starts, seriesWorkers, 2, 1, 0, 3, 2613437, NO TRIGGER, 0
Reaction ends, seriesWorkers, 2, 1, 0, 3, 2613529, NO TRIGGER, 0
Reaction starts, seriesWorkers, 2, 1, 0, 3, 2613714, NO TRIGGER, 0
Reaction ends, seriesWorkers, 2, 1, 0, 3, 2613802, NO TRIGGER, 0
Reaction starts, seriesWorkers, 2, 1, 0, 3, 2613983, NO TRIGGER, 0
Reaction ends, seriesWorkers, 2, 1, 0, 3, 2614031, NO TRIGGER, 0
Reaction starts, seriesWorkers, 2, 1, 0, 3, 2614254, NO TRIGGER, 0
Reaction ends, seriesWorkers, 2, 1, 0, 3, 2614314, NO TRIGGER, 0
Reaction starts, seriesWorkers, 2, 1, 0, 3, 2614503, NO TRIGGER, 0
Reaction ends, seriesWorkers, 2, 1, 0, 3, 2614594, NO TRIGGER, 0
Reaction starts, seriesWorkers, 2, 1, 0, 3, 2614784, NO TRIGGER, 0
Reaction ends, seriesWorkers, 2, 1, 0, 3, 2614831, NO TRIGGER, 0
Reaction starts, seriesWorkers, 2, 1, 0, 3, 2615046, NO TRIGGER, 0
Reaction ends, seriesWorkers, 2, 1, 0, 3, 2615089, NO TRIGGER, 0
Reaction starts, seriesWorkers, 2, 1, 0, 3, 2615423, NO TRIGGER, 0
Reaction ends, seriesWorkers, 2, 1, 0, 3, 2615460, NO TRIGGER, 0
Reaction starts, seriesWorkers, 2, 1, 0, 3, 2617240, NO TRIGGER, 0
Reaction ends, seriesWorkers, 2, 1, 0, 3, 2617294, NO TRIGGER, 0
Reaction starts, seriesWorkers.computer, 1, 1, 0, 4, 2735052, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 1, 1, 0, 4, 2735405, NO TRIGGER, 0
Reaction starts, seriesWorkers.computer, 1, 1, 0, 4, 2736325, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 1, 1, 0, 4, 2736575, NO TRIGGER, 0
Reaction starts, seriesWorkers.computer, 1, 1, 0, 4, 2747012, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 1, 1, 0, 4, 2747909, NO TRIGGER, 0
Reaction starts, seriesWorkers, 2, 1, 0, 4, 2785986, NO TRIGGER, 0
Reaction ends, seriesWorkers, 2, 1, 0, 4, 2786186, NO TRIGGER, 0
Reaction starts, seriesWorkers, 1, 2, 0, 2, 2295043, NO TRIGGER, 0
Reaction ends, seriesWorkers, 1, 2, 0, 2, 2295256, NO TRIGGER, 0
Reaction starts, seriesWorkers, 1, 2, 0, 2, 2295895, NO TRIGGER, 0
Reaction ends, seriesWorkers, 1, 2, 0, 2, 2295982, NO TRIGGER, 0
Reaction starts, seriesWorkers, 1, 2, 0, 2, 2296295, NO TRIGGER, 0
Reaction ends, seriesWorkers, 1, 2, 0, 2, 2296379, NO TRIGGER, 0
Reaction starts, seriesWorkers, 1, 2, 0, 2, 2296735, NO TRIGGER, 0
Reaction ends, seriesWorkers, 1, 2, 0, 2, 2296914, NO TRIGGER, 0
Reaction starts, seriesWorkers, 1, 2, 0, 2, 2297474, NO TRIGGER, 0
Reaction ends, seriesWorkers, 1, 2, 0, 2, 2297825, NO TRIGGER, 0
Reaction starts, seriesWorkers, 2, 2, 0, 2, 2397060, NO TRIGGER, 0
Reaction ends, seriesWorkers, 2, 2, 0, 2, 2397460, NO TRIGGER, 0
Reaction starts, seriesWorkers, 2, 2, 0, 2, 2398163, NO TRIGGER, 0
Reaction ends, seriesWorkers, 2, 2, 0, 2, 2398440, NO TRIGGER, 0
Reaction starts, seriesWorkers, 2, 2, 0, 2, 2398860, NO TRIGGER, 0
Reaction ends, seriesWorkers, 2, 2, 0, 2, 2399103, NO TRIGGER, 0
Reaction starts, seriesWorkers, 2, 2, 0, 2, 2399650, NO TRIGGER, 0
Reaction ends, seriesWorkers, 2, 2, 0, 2, 2399883, NO TRIGGER, 0
Reaction starts, seriesWorkers, 2, 2, 0, 2, 2400517, NO TRIGGER, 0
Reaction ends, seriesWorkers, 2, 2, 0, 2, 2400733, NO TRIGGER, 0
Reaction starts, seriesWorkers, 2, 2, 0, 2, 2401077, NO TRIGGER, 0
Reaction ends, seriesWorkers, 2, 2, 0, 2, 2401297, NO TRIGGER, 0
Reaction starts, seriesWorkers, 2, 2, 0, 2, 2402027, NO TRIGGER, 0
Reaction ends, seriesWorkers, 2, 2, 0, 2, 2402177, NO TRIGGER, 0
Reaction starts, seriesWorkers, 1, 2, 0, 4, 2704558, NO TRIGGER, 0
Reaction ends, seriesWorkers, 1, 2, 0, 4, 2704868, NO TRIGGER, 0
Reaction starts, seriesWorkers, 1, 2, 0, 4, 2706008, NO TRIGGER, 0
Reaction ends, seriesWorkers, 1, 2, 0, 4, 2706348, NO TRIGGER, 0
Reaction starts, seriesWorkers, 1, 2, 0, 4, 2707141, NO TRIGGER, 0
Reaction ends, seriesWorkers, 1, 2, 0, 4, 2707331, NO TRIGGER, 0
Reaction starts, seriesWorkers, 1, 2, 0, 4, 2708111, NO TRIGGER, 0
Reaction ends, seriesWorkers, 1, 2, 0, 4, 2708301, NO TRIGGER, 0
Reaction starts, seriesWorkers, 1, 2, 0, 4, 2708768, NO TRIGGER, 0
Reaction ends, seriesWorkers, 1, 2, 0, 4, 2709175, NO TRIGGER, 0
Reaction starts, seriesWorkers, 0, 2, 0, 6, 3049360, NO TRIGGER, 0
Reaction ends, seriesWorkers, 0, 2, 0, 6, 3049643, NO TRIGGER, 0
Reaction starts, manager, 1, 2, 0, 10, 3739727, NO TRIGGER, 0
Reaction ends, manager, 1, 2, 0, 10, 3740814, NO TRIGGER, 0
Reaction starts, seriesWorkers, 0, 2, 0, 10, 3752540, NO TRIGGER, 0
Reaction ends, seriesWorkers, 0, 2, 0, 10, 3752864, NO TRIGGER, 0
Reaction starts, seriesWorkers, 1, 2, 0, 10, 3782438, NO TRIGGER, 0
Reaction ends, seriesWorkers, 1, 2, 0, 10, 3782754, NO TRIGGER, 0
Reaction starts, seriesWorkers, 1, 2, 0, 10, 3785421, NO TRIGGER, 0
Reaction ends, seriesWorkers, 1, 2, 0, 10, 3785734, NO TRIGGER, 0
Reaction starts, seriesWorkers, 1, 2, 0, 10, 3788838, NO TRIGGER, 0
Reaction ends, seriesWorkers, 1, 2, 0, 10, 3789118, NO TRIGGER, 0
Reaction starts, seriesWorkers, 1, 2, 0, 11, 3976731, NO TRIGGER, 0
Reaction ends, seriesWorkers, 1, 2, 0, 11, 3977214, NO TRIGGER, 0
Reaction starts, seriesWorkers.computer, 1, 3, 0, 1, 2106886, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 1, 3, 0, 1, 2107366, NO TRIGGER, 0
Reaction starts, seriesWorkers.computer, 1, 3, 0, 1, 2108456, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 1, 3, 0, 1, 2108662, NO TRIGGER, 0
Reaction starts, seriesWorkers.computer, 1, 3, 0, 1, 2109369, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 1, 3, 0, 1, 2109596, NO TRIGGER, 0
Reaction starts, seriesWorkers.computer, 1, 3, 0, 1, 2110159, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 1, 3, 0, 1, 2110396, NO TRIGGER, 0
Reaction starts, seriesWorkers.computer, 1, 3, 0, 1, 2112866, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 1, 3, 0, 1, 2113109, NO TRIGGER, 0
Reaction starts, seriesWorkers.computer, 1, 3, 0, 1, 2114219, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 1, 3, 0, 1, 2114646, NO TRIGGER, 0
Reaction starts, seriesWorkers.computer, 1, 3, 0, 1, 2117006, NO TRIGGER, 0
Reaction ends, seriesWorkers.computer, 1, 3, 0, 1, 2117206, NO TRIGGER, 0
Reaction starts, seriesWorkers, 2, 3, 0, 1, 2146020, NO TRIGGER, 0
Reaction ends, seriesWorkers, 2, 3, 0, 1, 2146213, NO TRIGGER, 0
Reaction starts, seriesWorkers, 2, 3, 0, 1, 2149963, NO TRIGGER, 0
Reaction ends, seriesWorkers, 2, 3, 0, 1, 2150090, NO TRIGGER, 0
Reaction starts, runner, 2, 3, 0, 1, 2159856, NO TRIGGER, 0
Reaction ends, runner, 2, 3, 0, 1, 2186040, NO TRIGGER, 0
Reaction starts, runner, 1, 3, 0, 2, 2190037, NO TRIGGER, 0
Reaction ends, runner, 1, 3, 0, 2, 2190510, NO TRIGGER, 0
Reaction starts, seriesWorkers, 0, 3, 0, 2, 2251828, NO TRIGGER, 0
Reaction ends, seriesWorkers, 0, 3, 0, 2, 2252138, NO TRIGGER, 0
Reaction starts, seriesWorkers, 0, 3, 0, 2, 2252784, NO TRIGGER, 0
Reaction ends, seriesWorkers, 0, 3, 0, 2, 2252961, NO TRIGGER, 0
Reaction starts, seriesWorkers, 2, 3, 0, 3, 2618440, NO TRIGGER, 0
